"","SPECIES","REGION","DISTRICT","YEAR","SIZE_BIN","MIDPOINT","NUM_IMMATURE","NUM_MATURE","TOTAL_CRAB","PROP_MATURE"
"1","SNOW","EBS","ALL",2024,"0-10",5,0,0,0,0
"2","SNOW","EBS","ALL",2024,"10-20",15,0,0,0,0
"3","SNOW","EBS","ALL",2024,"20-30",25,5.07088,0,5.07088,0
"4","SNOW","EBS","ALL",2024,"30-40",35,85.62802,0,85.62802,0
"5","SNOW","EBS","ALL",2024,"40-50",45,2231.87812,199.77034,2431.64846,0
"6","SNOW","EBS","ALL",2024,"50-60",55,2827.23056,423.57092,3250.80148,0.130297381309178
"7","SNOW","EBS","ALL",2024,"60-70",65,1666.08328,796.08082,2462.1641,0.323325654857855
"8","SNOW","EBS","ALL",2024,"70-80",75,456.98896,252.7637,709.75266,0.356129274668728
"9","SNOW","EBS","ALL",2024,"80-90",85,130.40519,197.24561,327.6508,0.601999476271689
"10","SNOW","EBS","ALL",2024,"90-100",95,22,52,74,0.702702702702703
"11","SNOW","EBS","ALL",2024,"100-110",105,27.15554,62,89.15554,0.695413880057257
"12","SNOW","EBS","ALL",2024,"110-120",115,5,84.15554,89.15554,0.943918235479253
"13","SNOW","EBS","ALL",2024,"120-130",125,0,28,28,1
"14","SNOW","EBS","ALL",2024,"130-140",135,0,2,2,1
"15","SNOW","EBS","ALL",2024,"140-150",145,0,0,0,1
"16","SNOW","EBS","ALL",2024,"150-160",155,0,0,0,1
"17","SNOW","EBS","ALL",2024,"160-170",165,0,0,0,1
"18","SNOW","EBS","ALL",2024,"170-180",175,0,0,0,1
"19","SNOW","EBS","ALL",2024,"180-190",185,0,0,0,1
"20","SNOW","EBS","ALL",2024,"190-200",195,0,0,0,1
