"","SPECIES","YEAR","REGION","DISTRICT","TOTAL_AREA","SEX_TEXT","ABUNDANCE","ABUNDANCE_CV","ABUNDANCE_CI","BIOMASS_MT","BIOMASS_MT_CV","BIOMASS_MT_CI","BIOMASS_LBS","BIOMASS_LBS_CV","BIOMASS_LBS_CI"
"1","SNOW",1980,"EBS","ALL",128721,"male",2761854297.7802,0.146820092099616,794771576.636986,336054.117822295,0.130897846352624,86217.9701505041,740872510.316474,0.130897846352624,190078087.403686
"2","SNOW",1981,"EBS","ALL",119097,"male",1655197503.81901,0.162588946021871,527468962.503769,204582.322410099,0.114966118416923,46099.2695882488,451026816.01567,0.114966118416923,101631492.58496
"3","SNOW",1982,"EBS","ALL",132330,"male",1924253771.8339,0.125355931381917,472784582.615475,316338.115375511,0.120668521830232,74817.2234506114,697406165.309867,0.120668521830232,164943743.323134
"4","SNOW",1983,"EBS","ALL",131528,"male",1636300111.99958,0.16882009096583,541431054.160129,252884.390940007,0.109453622966484,54251.0610489108,557514648.978795,0.109453622966484,119603116.447729
"5","SNOW",1984,"EBS","ALL",132330,"male",1461271834.51822,0.19098996930699,547012995.134655,239409.299133995,0.10430513222559,48944.3724603259,527807156.751771,0.10430513222559,107903870.738228
"6","SNOW",1985,"EBS","ALL",131528,"male",550486786.392481,0.129773791182212,140019964.241096,99905.2143483991,0.0958239201215452,18763.6861877158,220253295.593134,0.0958239201215452,41366847.0387102
"7","SNOW",1986,"EBS","ALL",131528,"male",1253640421.23052,0.203839234964013,500860564.591843,142132.661374772,0.105372172144341,29354.5814329629,313348880.570396,0.105372172144341,64715774.2820127
"8","SNOW",1987,"EBS","ALL",135137,"male",3974302815.78437,0.180582147063042,1406668745.68395,373877.51905018,0.0983452206490809,72067.3715291729,824258836.298732,0.0983452206490809,158881357.570397
"9","SNOW",1988,"EBS","ALL",140350,"male",3954777180.5535,0.129265894169691,1001986904.63283,475467.543013852,0.111298715889938,103721.096890179,1048226501.28321,0.111298715889938,228665876.567061
"10","SNOW",1989,"EBS","ALL",140350,"male",3403313818.16852,0.105795984733697,705711596.031839,516004.356700006,0.0942431708341706,95314.5780097238,1137594877.75337,0.0942431708341706,210132674.872209
"11","SNOW",1990,"EBS","ALL",140350,"male",2974326041.67303,0.115637342232539,674128590.448513,654482.267192134,0.119114907677761,152798.845873313,1442886411.85067,0.119114907677761,336863792.204694
"12","SNOW",1991,"EBS","ALL",140350,"male",3950148871.07232,0.159530873793982,1235134573.99622,641231.752301204,0.12892370577818,162033.148587842,1413674026.97098,0.12892370577818,357221944.866145
"13","SNOW",1992,"EBS","ALL",133132,"male",3069393851.66281,0.208134671897102,1252140673.18809,346103.719933178,0.0941086654988171,63839.8640458919,763028090.470705,0.0941086654988171,140742808.451325
"14","SNOW",1993,"EBS","ALL",140350,"male",4988361412.72627,0.175440048091396,1715310397.64608,372427.524228217,0.13056837766957,95309.4249704267,821062144.912668,0.13056837766957,210121314.365204
"15","SNOW",1994,"EBS","ALL",140350,"male",4223270310.98866,0.149858624093854,1240471216.84312,347018.777529976,0.0962927714641843,65494.1836834102,765045447.148901,0.0962927714641843,144389958.947967
"16","SNOW",1995,"EBS","ALL",140350,"male",3763224650.43055,0.104019387838122,767238715.892827,429784.306588826,0.0899654040155764,75784.8088123633,947512204.821325,0.0899654040155764,167076903.900223
"17","SNOW",1996,"EBS","ALL",140350,"male",2612220276.48577,0.0890999047675234,456187212.618684,484898.769869224,0.093711994608782,89064.0285792679,1069018797.36035,0.093711994608782,196352572.198842
"18","SNOW",1997,"EBS","ALL",140350,"male",1651562574.29043,0.0879969534217662,284851650.849016,441519.318125914,0.0833387626879525,72119.5204038666,973383476.723647,0.0833387626879525,158996326.15925
