"","HAULJOIN","AREA","YEAR","BIN","MATURITY","COUNT","LATITUDE","LONGITUDE"
"1",11708,"SNOW_EBS_ALL",1989,"[70,80)","MATURE",1,55.38225,-165.21725
"2",11708,"SNOW_EBS_ALL",1989,"[100,110)","MATURE",1,55.38225,-165.21725
"3",9958,"SNOW_EBS_ALL",1989,"[60,70)","MATURE",1,56.002165,-168.220085
"4",9958,"SNOW_EBS_ALL",1989,"[60,70)","IMMATURE",1,56.002165,-168.220085
"5",9958,"SNOW_EBS_ALL",1989,"[70,80)","MATURE",2,56.002165,-168.220085
"6",9958,"SNOW_EBS_ALL",1989,"[100,110)","MATURE",4,56.002165,-168.220085
"7",9958,"SNOW_EBS_ALL",1989,"[110,120)","MATURE",2,56.002165,-168.220085
"8",9958,"SNOW_EBS_ALL",1989,"[90,100)","MATURE",2,56.002165,-168.220085
"9",11714,"SNOW_EBS_ALL",1989,"[70,80)","MATURE",2,56.34892,-166.40517
"10",11714,"SNOW_EBS_ALL",1989,"[60,70)","IMMATURE",1,56.34892,-166.40517
"11",9957,"SNOW_EBS_ALL",1989,"[100,110)","MATURE",3.0882,56.332415,-168.251165
"12",9957,"SNOW_EBS_ALL",1989,"[80,90)","MATURE",15.441,56.332415,-168.251165
"13",9957,"SNOW_EBS_ALL",1989,"[70,80)","MATURE",9.2646,56.332415,-168.251165
"14",9957,"SNOW_EBS_ALL",1989,"[90,100)","IMMATURE",3.0882,56.332415,-168.251165
"15",11729,"SNOW_EBS_ALL",1989,"[90,100)","MATURE",1,56.668085,-167.662
"16",11729,"SNOW_EBS_ALL",1989,"[100,110)","MATURE",1,56.668085,-167.662
"17",9956,"SNOW_EBS_ALL",1989,"[60,70)","MATURE",2,56.65908,-168.28717
"18",9956,"SNOW_EBS_ALL",1989,"[80,90)","IMMATURE",1,56.65908,-168.28717
"19",9956,"SNOW_EBS_ALL",1989,"[90,100)","IMMATURE",1,56.65908,-168.28717
"20",9956,"SNOW_EBS_ALL",1989,"[110,120)","MATURE",1,56.65908,-168.28717
"21",9956,"SNOW_EBS_ALL",1989,"[90,100)","MATURE",2,56.65908,-168.28717
"22",9956,"SNOW_EBS_ALL",1989,"[100,110)","MATURE",2,56.65908,-168.28717
"23",9956,"SNOW_EBS_ALL",1989,"[70,80)","MATURE",1,56.65908,-168.28717
"24",9956,"SNOW_EBS_ALL",1989,"[80,90)","MATURE",1,56.65908,-168.28717
"25",9960,"SNOW_EBS_ALL",1989,"[60,70)","MATURE",1,56.680165,-169.49958
"26",9989,"SNOW_EBS_ALL",1989,"[70,80)","MATURE",10.0852,56.65275,-170.73075
"27",9989,"SNOW_EBS_ALL",1989,"[110,120)","MATURE",5.0426,56.65275,-170.73075
"28",9989,"SNOW_EBS_ALL",1989,"[80,90)","MATURE",5.0426,56.65275,-170.73075
"29",9989,"SNOW_EBS_ALL",1989,"[50,60)","IMMATURE",5.0426,56.65275,-170.73075
"30",9989,"SNOW_EBS_ALL",1989,"[60,70)","MATURE",5.0426,56.65275,-170.73075
"31",11791,"SNOW_EBS_ALL",1989,"[90,100)","MATURE",1,56.65008,-171.98483
"32",11730,"SNOW_EBS_ALL",1989,"[70,80)","IMMATURE",1,57.01683,-167.71508
"33",11730,"SNOW_EBS_ALL",1989,"[80,90)","MATURE",2,57.01683,-167.71508
"34",11730,"SNOW_EBS_ALL",1989,"[70,80)","MATURE",1,57.01683,-167.71508
"35",11716,"SNOW_EBS_ALL",1989,"[70,80)","IMMATURE",1,57.008835,-166.46575
"36",11716,"SNOW_EBS_ALL",1989,"[60,70)","MATURE",4,57.008835,-166.46575
"37",11716,"SNOW_EBS_ALL",1989,"[70,80)","MATURE",3,57.008835,-166.46575
"38",11716,"SNOW_EBS_ALL",1989,"[50,60)","MATURE",2,57.008835,-166.46575
"39",11716,"SNOW_EBS_ALL",1989,"[80,90)","MATURE",1,57.008835,-166.46575
"40",11716,"SNOW_EBS_ALL",1989,"[90,100)","MATURE",2,57.008835,-166.46575
"41",11716,"SNOW_EBS_ALL",1989,"[60,70)","IMMATURE",1,57.008835,-166.46575
"42",9954,"SNOW_EBS_ALL",1989,"[60,70)","IMMATURE",1,57.010335,-168.341665
"43",9954,"SNOW_EBS_ALL",1989,"[80,90)","IMMATURE",2,57.010335,-168.341665
"44",9954,"SNOW_EBS_ALL",1989,"[90,100)","MATURE",5,57.010335,-168.341665
"45",9954,"SNOW_EBS_ALL",1989,"[80,90)","MATURE",4,57.010335,-168.341665
"46",9954,"SNOW_EBS_ALL",1989,"[70,80)","MATURE",5,57.010335,-168.341665
"47",9954,"SNOW_EBS_ALL",1989,"[90,100)","IMMATURE",1,57.010335,-168.341665
"48",9954,"SNOW_EBS_ALL",1989,"[100,110)","MATURE",5,57.010335,-168.341665
"49",9954,"SNOW_EBS_ALL",1989,"[110,120)","MATURE",3,57.010335,-168.341665
"50",9954,"SNOW_EBS_ALL",1989,"[100,110)","IMMATURE",1,57.010335,-168.341665
"51",9954,"SNOW_EBS_ALL",1989,"[70,80)","IMMATURE",1,57.010335,-168.341665
"52",11789,"SNOW_EBS_ALL",1989,"[80,90)","MATURE",6.1653,56.999,-171.38375
"53",11789,"SNOW_EBS_ALL",1989,"[60,70)","MATURE",8.2204,56.999,-171.38375
"54",11789,"SNOW_EBS_ALL",1989,"[50,60)","MATURE",2.0551,56.999,-171.38375
"55",11789,"SNOW_EBS_ALL",1989,"[70,80)","MATURE",2.0551,56.999,-171.38375
"56",11789,"SNOW_EBS_ALL",1989,"[100,110)","MATURE",6.1653,56.999,-171.38375
"57",11789,"SNOW_EBS_ALL",1989,"[100,110)","IMMATURE",2.0551,56.999,-171.38375
"58",11789,"SNOW_EBS_ALL",1989,"[90,100)","MATURE",2.0551,56.999,-171.38375
"59",9931,"SNOW_EBS_ALL",1989,"[90,100)","MATURE",3,57.330335,-167.14475
"60",9931,"SNOW_EBS_ALL",1989,"[80,90)","IMMATURE",1,57.330335,-167.14475
