HAULJOIN,CRUISE,VESSEL,HAUL,GIS_STATION,LATITUDE,LONGITUDE,SPECIES_CODE,SEX,WIDTH,CHELA_HEIGHT,SHELL_CONDITION,SAMPLING_FACTOR
11838,198901,78,196,P-31,60.003,-177.18425,68580,1,23,3,2,1
11720,198901,78,78,K-03,58.35325,-166.55667,68580,1,33,4,2,1
11720,198901,78,78,K-03,58.35325,-166.55667,68580,1,31,4,2,1
11720,198901,78,78,K-03,58.35325,-166.55667,68580,1,31,4,2,1
11720,198901,78,78,K-03,58.35325,-166.55667,68580,1,31,4,2,1
11825,198901,78,183,V-27,61.99884,-175.18717,68580,1,43,4,2,30.6167
10022,198901,37,176,U-26,61.65775,-174.31467,68580,1,41,5,2,8.3158
10022,198901,37,176,U-26,61.65775,-174.31467,68580,1,40,5,2,8.3158
10023,198901,37,177,U-25,61.66825,-173.69592,68580,1,40,5,2,6.2857
10021,198901,37,175,T-26,61.34359,-174.21875,68580,1,39,5,2,6.1429
10021,198901,37,175,T-26,61.34359,-174.21875,68580,1,38,5,2,6.1429
10021,198901,37,175,T-26,61.34359,-174.21875,68580,1,44,5,2,6.1429
10021,198901,37,175,T-26,61.34359,-174.21875,68580,1,41,5,2,6.1429
11720,198901,78,78,K-03,58.35325,-166.55667,68580,1,31,5,2,1
11720,198901,78,78,K-03,58.35325,-166.55667,68580,1,31,5,2,1
11823,198901,78,181,V-26,61.92675,-174.596,68580,1,39,5,2,32.9556
11823,198901,78,181,V-26,61.92675,-174.596,68580,1,42,5,2,32.9556
11720,198901,78,78,K-03,58.35325,-166.55667,68580,1,31,5,2,1
11720,198901,78,78,K-03,58.35325,-166.55667,68580,1,32,5,2,1
11823,198901,78,181,V-26,61.92675,-174.596,68580,1,45,5,2,32.9556
11824,198901,78,182,V-25,61.9925,-173.96234,68580,1,34,5,2,19.1045
11837,198901,78,195,P-32,60.00583,-177.88034,68580,1,35,5,2,1
11838,198901,78,196,P-31,60.003,-177.18425,68580,1,34,5,2,1
10021,198901,37,175,T-26,61.34359,-174.21875,68580,1,41,5,2,6.1429
10022,198901,37,176,U-26,61.65775,-174.31467,68580,1,44,6,2,8.3158
10023,198901,37,177,U-25,61.66825,-173.69592,68580,1,40,6,2,6.2857
10020,198901,37,174,T-25,61.33917,-173.56342,68580,1,39,6,2,4.75
10020,198901,37,174,T-25,61.33917,-173.56342,68580,1,41,6,2,4.75
10021,198901,37,175,T-26,61.34359,-174.21875,68580,1,45,6,2,6.1429
10023,198901,37,177,U-25,61.66825,-173.69592,68580,1,38,6,2,6.2857
10020,198901,37,174,T-25,61.33917,-173.56342,68580,1,43,6,2,4.75
10022,198901,37,176,U-26,61.65775,-174.31467,68580,1,44,6,2,8.3158
10020,198901,37,174,T-25,61.33917,-173.56342,68580,1,37,6,2,4.75
10024,198901,37,178,U-28,61.66592,-175.76475,68580,1,43,6,2,2.5267
10024,198901,37,178,U-28,61.66592,-175.76475,68580,1,42,6,2,2.5267
10023,198901,37,177,U-25,61.66825,-173.69592,68580,1,47,6,2,6.2857
10023,198901,37,177,U-25,61.66825,-173.69592,68580,1,42,6,2,6.2857
10021,198901,37,175,T-26,61.34359,-174.21875,68580,1,43,6,2,6.1429
10021,198901,37,175,T-26,61.34359,-174.21875,68580,1,44,6,2,6.1429
10021,198901,37,175,T-26,61.34359,-174.21875,68580,1,44,6,2,6.1429
10021,198901,37,175,T-26,61.34359,-174.21875,68580,1,44,6,2,6.1429
10022,198901,37,176,U-26,61.65775,-174.31467,68580,1,47,6,2,8.3158
10023,198901,37,177,U-25,61.66825,-173.69592,68580,1,40,6,2,6.2857
10022,198901,37,176,U-26,61.65775,-174.31467,68580,1,44,6,2,8.3158
11823,198901,78,181,V-26,61.92675,-174.596,68580,1,39,6,2,32.9556
10021,198901,37,175,T-26,61.34359,-174.21875,68580,1,45,6,2,6.1429
11720,198901,78,78,K-03,58.35325,-166.55667,68580,1,38,6,2,1
11720,198901,78,78,K-03,58.35325,-166.55667,68580,1,41,6,2,1
11720,198901,78,78,K-03,58.35325,-166.55667,68580,1,40,6,2,1
