"","SPECIES","YEAR","REGION","DISTRICT","TOTAL_AREA","SHELL_TEXT","SEX_TEXT","ABUNDANCE","ABUNDANCE_CV","ABUNDANCE_CI","BIOMASS_MT","BIOMASS_MT_CV","BIOMASS_MT_CI","BIOMASS_LBS","BIOMASS_LBS_CV","BIOMASS_LBS_CI","bin"
"1","SNOW",1980,"EBS","ALL",128721,"new_hardshell","male",722491304.628817,0.224380322054839,317741149.964293,62304.0593320782,0.225679800316036,27559.104631126,137356938.636509,0.225679800316036,60757425.5076785,"Small (55-65mm)"
"2","SNOW",1981,"EBS","ALL",119097,"new_hardshell","male",486060524.584804,0.213177455381716,203089605.753282,40450.9558992663,0.208420598387916,16524.392370421,89179092.4509307,0.208420598387916,36430049.2321359,"Small (55-65mm)"
"3","SNOW",1982,"EBS","ALL",132330,"new_hardshell","male",423193088.157465,0.198187729219023,164388487.239703,36564.657322223,0.195011265924314,13975.819420491,80611270.6927222,0.195011265924314,30811407.6532884,"Small (55-65mm)"
"4","SNOW",1983,"EBS","ALL",131528,"new_hardshell","male",286616421.345916,0.249807685924394,140334010.530135,24922.5500499781,0.246401606313152,12036.2744768397,54944817.6343406,0.246401606313152,26535442.994422,"Small (55-65mm)"
"5","SNOW",1984,"EBS","ALL",132330,"new_hardshell","male",99660676.787752,0.246108220824438,48073531.2267703,8680.86961116381,0.245086223396863,4170.02063564945,19138041.5220915,0.245086223396864,9193321.82692908,"Small (55-65mm)"
"6","SNOW",1985,"EBS","ALL",131528,"new_hardshell","male",64357831.978836,0.205459924608861,25916992.4004683,5467.58274853739,0.20272365473188,2172.48038037166,12053956.6142558,0.20272365473188,4789499.39209004,"Small (55-65mm)"
"7","SNOW",1986,"EBS","ALL",131528,"new_hardshell","male",218648095.309471,0.235453786865819,100903783.181963,18368.1413939747,0.231986275854879,8351.86716407351,40494820.0384739,0.231986275854879,18412715.2845926,"Small (55-65mm)"
"8","SNOW",1987,"EBS","ALL",135137,"new_hardshell","male",750145208.041501,0.14646419169145,215344046.632145,62752.8544049722,0.146200122283015,17981.9709757258,138346362.406786,0.146200122283015,39643459.9985135,"Small (55-65mm)"
"9","SNOW",1988,"EBS","ALL",140350,"new_hardshell","male",912003268.040864,0.184492901569417,329785933.156833,76617.8735885117,0.186539145688537,28012.7760599996,168913497.351185,0.186539145688537,61757599.8026597,"Small (55-65mm)"
"10","SNOW",1989,"EBS","ALL",140350,"new_hardshell","male",614357728.783673,0.160469675198208,193228138.979112,53605.6671356871,0.160486990677296,16861.9039156363,118180266.426633,0.160486990677296,37174134.8198526,"Small (55-65mm)"
"11","SNOW",1990,"EBS","ALL",140350,"new_hardshell","male",479420176.078229,0.178992839922341,168193046.511329,40934.7789200211,0.178894157677288,14353.0658774223,90245739.6274579,0.178894157677288,31643093.7262512,"Small (55-65mm)"
"12","SNOW",1991,"EBS","ALL",140350,"new_hardshell","male",689386287.221467,0.440225213357318,594831041.740253,58229.4395836068,0.434069395176349,49540.2105381674,128373939.763598,0.434069395176349,109217468.843596,"Small (55-65mm)"
