"","lwr","upr","minima","midpoint","bin"
"1",2.6,2.8,2.767684242455,4.3625,"[4.35,4.375)"
"2",2.4,2.6,2.59513038985704,4.2125,"[4.2,4.225)"
"3",2.3,2.5,2.46825000828551,4.1375,"[4.125,4.15)"
"4",2.9,3.1,3.04241570647379,4.5875,"[4.575,4.6]"
"5",2.6,2.8,2.70063403050737,4.3125,"[4.3,4.325)"
"6",2.9,3.1,3.00921758862665,4.5625,"[4.55,4.575)"
"7",2.5,2.7,2.66066272741969,4.2875,"[4.275,4.3)"
"8",2.4,2.6,2.55820436856538,4.1875,"[4.175,4.2)"
"9",2.7,2.9,2.83298249781889,4.4125,"[4.4,4.425)"
"10",2.6,2.8,2.79009350352215,4.3875,"[4.375,4.4)"
"11",2.8,3,2.89577532113378,4.4625,"[4.45,4.475)"
"12",2.8,3,2.9316672391491,4.4875,"[4.475,4.5)"
"13",2.8,3,2.98770472581218,4.5375,"[4.525,4.55)"
"14",2.4,2.6,2.53157728874313,4.1625,"[4.15,4.175)"
"15",2.2,2.4,2.23575570711605,4.0625,"[4.05,4.075)"
"16",2.3,2.5,2.47293949388927,4.1125,"[4.1,4.125)"
"17",2.8,3,2.95642636036464,4.5125,"[4.5,4.525)"
"18",2.5,2.7,2.64328968348448,4.2625,"[4.25,4.275)"
"19",2.6,2.8,2.72737115448652,4.3375,"[4.325,4.35)"
"20",2.5,2.7,2.61389472056397,4.2375,"[4.225,4.25)"
"21",2.3,2.5,2.44395865371654,4.0875,"[4.075,4.1)"
"22",2.7,2.9,2.87045251718712,4.4375,"[4.425,4.45)"
"23",2.2,2.4,2.2517489702814,4.0375,"[4.025,4.05)"
"24",2.2,2.4,2.35440129734202,4.0125,"[4,4.025)"
"25",2.1,2.3,2.25915894467546,3.9625,"[3.95,3.975)"
"26",1.9,2.1,2.00057891595498,3.9125,"[3.9,3.925)"
"27",2.1,2.3,2.25979149166874,3.9375,"[3.925,3.95)"
"28",2.1,2.3,2.27104762401818,3.9875,"[3.975,4)"
