"","SPECIES","REGION","DISTRICT","YEAR","A_EST","A_SE","B_EST","B_SE"
"1","SNOW","EBS","ALL",1989,0.0467766479564976,0.0138091548468314,61.1788441807626,4.44418399410888
"2","SNOW","EBS","ALL",1990,0.0547403793416144,0.0145762023732271,59.2890325666139,3.76833004460379
"3","SNOW","EBS","ALL",1991,0.0561622702166132,0.0148435074599881,55.7796128268824,3.69249456480408
"4","SNOW","EBS","ALL",1992,0.0456814246810609,0.0130873834779733,57.4007443954829,4.40126848588615
"5","SNOW","EBS","ALL",1993,0.0459662910879571,0.0155745498185717,56.6754501156785,4.80050279447142
"6","SNOW","EBS","ALL",1994,0.0512954995419989,0.0167432362222363,56.1523601627973,4.34561461319601
"7","SNOW","EBS","ALL",1995,0.0467517658942346,0.0151502814351273,58.4724906402897,4.57890171049267
"8","SNOW","EBS","ALL",1996,0.0585715863832966,0.0185934056194903,55.2465060400697,3.90345717132961
"9","SNOW","EBS","ALL",1997,0.0707864237763007,0.0216707590850018,54.9120406774084,3.32529761887415
"10","SNOW","EBS","ALL",1998,0.0640498272618838,0.0162839795681659,55.6671035006692,3.30513311902123
"11","SNOW","EBS","ALL",1999,0.0518049823166313,0.0149332932655534,60.1193135603513,4.13550532242766
"12","SNOW","EBS","ALL",2000,0.0577925388307063,0.0153318073878018,58.4162579001471,3.61116681082104
"13","SNOW","EBS","ALL",2001,0.0665782878665976,0.0189055764149351,58.7760973156198,3.37573186651719
"14","SNOW","EBS","ALL",2002,0.087346521111518,0.0232922727964261,56.4077104458606,2.66570177431314
"15","SNOW","EBS","ALL",2003,0.0690236422466383,0.0185135718893794,57.8631546960698,3.2371217012868
"16","SNOW","EBS","ALL",2004,0.0490714716979366,0.0131200061760174,54.6697239844118,4.07987515850753
"17","SNOW","EBS","ALL",2005,0.071276273333531,0.018927405855331,56.9310901423792,3.11504356623063
"18","SNOW","EBS","ALL",2006,0.0379867566718114,0.014021344973865,68.1822995695448,6.5739566036756
"19","SNOW","EBS","ALL",2007,0.0527593828592969,0.0147958310226431,61.2385523401893,3.97782681303099
"20","SNOW","EBS","ALL",2008,0.0509376445251988,0.0140887970272111,61.3180181485325,4.09664872018028
"21","SNOW","EBS","ALL",2009,0.0614134945132112,0.0158889012917607,60.3217023014781,3.42401086680589
"22","SNOW","EBS","ALL",2010,0.0404155290834743,0.0127214956935364,60.1962311795807,5.29379817444261
"23","SNOW","EBS","ALL",2011,0.0450697107615181,0.013482287767109,59.7600318265357,4.58690221840464
"24","SNOW","EBS","ALL",2012,0.041739338774195,0.0117249952979989,58.6327779693902,4.69509260593762
"25","SNOW","EBS","ALL",2013,0.0422574670485931,0.0119751559479585,60.1500714572522,4.68675181888885
"26","SNOW","EBS","ALL",2014,0.0413466658141525,0.012629777814854,60.6407341273429,4.98614539937023
"27","SNOW","EBS","ALL",2015,0.0597844314127235,0.0171984967506641,56.1076783557023,3.79350160015475
"28","SNOW","EBS","ALL",2016,0.0716082329163957,0.0201149900327788,52.7899416819323,3.1584591810385
"29","SNOW","EBS","ALL",2017,0.0395623965700033,0.0137042563934701,58.920481926913,5.72100249292006
"30","SNOW","EBS","ALL",2018,0.0449444170865409,0.0138619350780072,52.2041877659383,4.73578838206123
"31","SNOW","EBS","ALL",2019,0.0806163350400789,0.0226294428137357,50.2551834626211,2.91789335266472
"32","SNOW","EBS","ALL",2021,0.0706855966911468,0.0204847742167933,58.4178301921466,3.37234912201562
"33","SNOW","EBS","ALL",2022,0.060981917520478,0.0185577146182597,54.8603497350626,3.79620202808531
"34","SNOW","EBS","ALL",2023,0.0387296176312138,0.0137160630469251,59.2268223754154,5.78584398643495
"35","SNOW","EBS","ALL",2024,0.0415998768471523,0.0127648495161782,62.1967631095903,4.84355327101721
"36","SNOW","EBS","ALL",2020,NA,NA,NA,NA
