"","CRUISE","tot_ms"
"1",199001,1815
"2",199101,1856
"3",199201,759
"4",199301,597
"5",199401,421
"6",199501,273
"7",199601,237
"8",199701,252
"9",199801,561
"10",199901,415
"11",200001,993
"12",200101,1027
"13",200201,562
"14",200301,809
"15",200401,957
"16",200501,1005
"17",200601,1577
"18",200701,957
"19",200801,1787
"20",200901,567
"21",201001,1754
"22",201101,151
"23",201201,1025
"24",201301,5
"25",201401,829
"26",201601,1366
"27",201701,3634
"28",201801,2422
"29",202101,2149
"30",202201,1774
"31",202301,2493
"32",202401,2004
