"","lwr","upr","minima","midpoint","bin"
"1",2.6,2.8,2.770348660661,4.3625,"[4.35,4.375)"
"2",2.4,2.6,2.59165788709579,4.2125,"[4.2,4.225)"
"3",2.3,2.5,2.47171319086356,4.1375,"[4.125,4.15)"
"4",2.9,3.1,3.04081938021409,4.5875,"[4.575,4.6]"
"5",2.6,2.8,2.70273876532602,4.3125,"[4.3,4.325)"
"6",2.9,3.1,3.00916144177422,4.5625,"[4.55,4.575)"
"7",2.4,2.6,2.54931815025666,4.1875,"[4.175,4.2)"
"8",2.5,2.7,2.65724406289171,4.2875,"[4.275,4.3)"
"9",2.7,2.9,2.83328254884868,4.4125,"[4.4,4.425)"
"10",2.6,2.8,2.79261885536279,4.3875,"[4.375,4.4)"
"11",2.8,3,2.89503633731219,4.4625,"[4.45,4.475)"
"12",2.8,3,2.93229330567179,4.4875,"[4.475,4.5)"
"13",2.8,3,2.98540239909228,4.5375,"[4.525,4.55)"
"14",2.4,2.6,2.5362618506302,4.1625,"[4.15,4.175)"
"15",2.2,2.4,2.2408427353576,4.0625,"[4.05,4.075)"
"16",2.3,2.5,2.46655488209083,4.1125,"[4.1,4.125)"
"17",2.8,3,2.95296821418963,4.5125,"[4.5,4.525)"
"18",2.5,2.7,2.6444041666115,4.2625,"[4.25,4.275)"
"19",2.5,2.7,2.61686747978525,4.2375,"[4.225,4.25)"
"20",2.6,2.8,2.72641778442422,4.3375,"[4.325,4.35)"
"21",2.7,2.9,2.86835713583688,4.4375,"[4.425,4.45)"
"22",2.3,2.5,2.44260143663292,4.0875,"[4.075,4.1)"
"23",2.2,2.4,2.37537340452458,4.0375,"[4.025,4.05)"
"24",2.2,2.4,2.35898549191736,4.0125,"[4,4.025)"
"25",2.1,2.3,2.27930157863286,3.9625,"[3.95,3.975)"
"26",2.1,2.3,2.25895643052195,3.9125,"[3.9,3.925)"
"27",2.1,2.3,2.26697512792747,3.9375,"[3.925,3.95)"
"28",2.1,2.3,2.29995279489051,3.9875,"[3.975,4)"
