"","lwr","upr","minima","midpoint","bin"
"1",2.7,2.9,2.78086901796637,79.5,"[79,80)"
"2",3,3.2,3.05086021482375,101.5,"[101,102)"
"3",2.5,2.7,2.60134522512505,68.5,"[68,69)"
"4",2.3,2.5,2.49481246165165,62.5,"[62,63)"
"5",2.6,2.8,2.76190851396295,78.5,"[78,79)"
"6",2.9,3.1,3.0294150790596,98.5,"[98,99)"
"7",2.6,2.8,2.71112216404648,75.5,"[75,76)"
"8",2.9,3.1,3.00863104753771,96.5,"[96,97)"
"9",2.4,2.6,2.57152404028886,66.5,"[66,67)"
"10",2.6,2.8,2.65595336428066,72.5,"[72,73)"
"11",2.7,2.9,2.82313440910063,82.5,"[82,83)"
"12",2.7,2.9,2.80495730165017,81.5,"[81,82)"
"13",2.8,3,2.91173748242429,87.5,"[87,88)"
"14",2.7,2.9,2.79283710387477,80.5,"[80,81)"
"15",2.8,3,2.91212262888145,88.5,"[88,89)"
"16",2.9,3.1,3.04441338675718,99.5,"[99,100)"
"17",2.6,2.8,2.6669038353837,73.5,"[73,74)"
"18",2.9,3.1,2.98872352271501,94.5,"[94,95)"
"19",3,3.2,3.04721359549996,103.5,"[103,104)"
"20",2.7,2.9,2.84273152471583,83.5,"[83,84)"
"21",2.8,3,2.97926081283102,93.5,"[93,94)"
"22",2.8,3,2.94378132736196,90.5,"[90,91)"
"23",3,3.2,3.0783772430773,104.5,"[104,105)"
"24",2.6,2.8,2.69430119572084,74.5,"[74,75)"
"25",2.8,3,2.9393102982046,89.5,"[89,90)"
"26",2.4,2.6,2.56032830874728,65.5,"[65,66)"
"27",2.3,2.5,2.41716453861281,58.5,"[58,59)"
"28",2.3,2.5,2.48555037220102,61.5,"[61,62)"
"29",2.8,3,2.95177294673273,91.5,"[91,92)"
"30",2.5,2.7,2.65186855525384,71.5,"[71,72)"
"31",2.5,2.7,2.61916444120808,69.5,"[69,70)"
"32",2.6,2.8,2.72093097101792,76.5,"[76,77)"
"33",2.4,2.6,2.54149412129429,64.5,"[64,65)"
"34",2.5,2.7,2.63153101061399,70.5,"[70,71)"
"35",2.9,3.1,2.99473523582192,95.5,"[95,96)"
"36",2.8,3,2.96527054929341,92.5,"[92,93)"
"37",2.9,3.1,3.01190385028854,97.5,"[97,98)"
"38",3,3.2,3.077642283042,105.5,"[105,106]"
"39",2.8,3,2.87840584307173,86.5,"[86,87)"
"40",2.4,2.6,2.49987461703969,63.5,"[63,64)"
"41",2.7,2.9,2.86352757058485,84.5,"[84,85)"
"42",2.9,3.1,3.04877354643796,100.5,"[100,101)"
"43",2.3,2.5,2.46627267434208,60.5,"[60,61)"
"44",2.7,2.9,2.87541252315503,85.5,"[85,86)"
"45",2.6,2.8,2.74752536959884,77.5,"[77,78)"
"46",3,3.2,3.05698760725409,102.5,"[102,103)"
"47",2.5,2.7,2.58017466008748,67.5,"[67,68)"
"48",2.2,2.4,2.39995010509485,57.5,"[57,58)"
"49",2.2,2.4,2.39490931785906,56.5,"[56,57)"
"50",2.3,2.5,2.42668320038597,59.5,"[59,60)"
"51",2.2,2.4,2.38817588639814,55.5,"[55,56)"
