"","SPECIES","REGION","DISTRICT","YEAR","SIZE_BIN","MIDPOINT","NUM_IMMATURE","NUM_MATURE","TOTAL_CRAB","PROP_MATURE"
"1","SNOW","EBS","ALL",1989,"0-10",5,0,0,0,0
"2","SNOW","EBS","ALL",1989,"10-20",15,0,0,0,0
"3","SNOW","EBS","ALL",1989,"20-30",25,1,0,1,0
"4","SNOW","EBS","ALL",1989,"30-40",35,182.4007,0,182.4007,0
"5","SNOW","EBS","ALL",1989,"40-50",45,1159.8136,47.6825,1207.4961,0.0394887403777122
"6","SNOW","EBS","ALL",1989,"50-60",55,1078.8905,189.1804,1268.0709,0.149187557257248
"7","SNOW","EBS","ALL",1989,"60-70",65,886.9353,211.9724,1098.9077,0.192893725287392
"8","SNOW","EBS","ALL",1989,"70-80",75,1462.7453,229.4728,1692.2181,0.135604742674718
"9","SNOW","EBS","ALL",1989,"80-90",85,796.7718,371.5487,1168.3205,0.318019498930302
"10","SNOW","EBS","ALL",1989,"90-100",95,234.7517,316.969,551.7207,0.574509892414767
"11","SNOW","EBS","ALL",1989,"100-110",105,49.2443,379.2608,428.5051,0.885078847369611
"12","SNOW","EBS","ALL",1989,"110-120",115,12.521,189.4336,201.9546,0.93800091703779
"13","SNOW","EBS","ALL",1989,"120-130",125,2,64.4497,66.4497,0.969902046209388
"14","SNOW","EBS","ALL",1989,"130-140",135,0,13,13,1
"15","SNOW","EBS","ALL",1989,"140-150",145,0,0,0,1
"16","SNOW","EBS","ALL",1989,"150-160",155,0,0,0,1
"17","SNOW","EBS","ALL",1989,"160-170",165,0,0,0,1
"18","SNOW","EBS","ALL",1989,"170-180",175,0,0,0,1
"19","SNOW","EBS","ALL",1989,"180-190",185,0,0,0,1
"20","SNOW","EBS","ALL",1989,"190-200",195,0,0,0,1
"21","SNOW","EBS","ALL",1990,"0-10",5,20.0925,36.3758,56.4683,0
"22","SNOW","EBS","ALL",1990,"10-20",15,8.037,0,8.037,0
"23","SNOW","EBS","ALL",1990,"20-30",25,3,3,6,0
"24","SNOW","EBS","ALL",1990,"30-40",35,515.2132,49.0243,564.2375,0
"25","SNOW","EBS","ALL",1990,"40-50",45,1209.6121,112.7359,1322.348,0.0852543354699368
"26","SNOW","EBS","ALL",1990,"50-60",55,2521.5125,244.2421,2765.7546,0.0883093894158216
"27","SNOW","EBS","ALL",1990,"60-70",65,2064.1703,334.4956,2398.6659,0.139450683815533
"28","SNOW","EBS","ALL",1990,"70-80",75,972.4215,497.4557,1469.8772,0.338433509955798
"29","SNOW","EBS","ALL",1990,"80-90",85,744.4128,393.9624,1138.3752,0.346074299580665
"30","SNOW","EBS","ALL",1990,"90-100",95,693.1012,376.7261,1069.8273,0.35213730290861
"31","SNOW","EBS","ALL",1990,"100-110",105,218.5,317.6346,536.1346,0.592453089205584
